0,1,2,3,4
Razor,Toothpaste,Conditioner,Lotion,Shampoo
Towel,Mouthwash,Razor,Soap,Toothpaste
Towel,Deodorant,Mouthwash,Razor,
Toothpaste,Towel,Soap,,
Conditioner,Soap,Toothbrush,Mouthwash,Towel
Lotion,Towel,,,
Mouthwash,Shampoo,Soap,,
Soap,Toothpaste,Toothbrush,,
Towel,Soap,Deodorant,Mouthwash,
Soap,Conditioner,Mouthwash,Deodorant,Toothbrush
Soap,Shampoo,Toothpaste,,
Shampoo,Soap,,,
Towel,Toothpaste,Deodorant,,
Soap,Toothpaste,Lotion,Conditioner,
Towel,Lotion,Soap,Shampoo,
Mouthwash,Lotion,Deodorant,Conditioner,
Soap,Conditioner,Toothbrush,,
Toothbrush,Towel,Shampoo,,
Toothbrush,Mouthwash,Soap,Towel,Conditioner
Toothpaste,Conditioner,Toothbrush,Razor,
