0,1,2,3,4
Tape,Notebook,Stapler,Pencil,Pen
Pencil,Marker,,,
Stapler,Pen,Notebook,Pencil,
Pencil,Glue,Highlighter,Stapler,Marker
Paper,Pencil,,,
Tape,Stapler,,,
Stapler,Eraser,Pencil,Highlighter,Paper
Eraser,Notebook,Pencil,,
Glue,Pen,Pencil,,
Tape,Notebook,Stapler,Eraser,Glue
Pencil,Eraser,Notebook,Paper,
Pen,Stapler,Highlighter,,
Eraser,Notebook,Tape,,
Marker,Glue,Tape,,
Pencil,Stapler,,,
Paper,Stapler,,,
Highlighter,Glue,,,
Stapler,Pencil,Eraser,Glue,
Tape,Glue,Pen,,
Notebook,Stapler,Tape,Pencil,
